"""GRPCOL""","""HUM""","""TEMP""","""PWRA"""
43582.50347,38,34.6,1630.2
43582.50694,37,34.7,1649.2
43582.51042,37,34.7,1674.2
43582.51389,37,34.7,1675.4
43582.51736,37,34.8,1674.8
43582.52083,36,34.8,1621.2
43582.52431,36,34.9,1623.6
43582.52778,36,35.1,1726.4
43582.53125,36,35.2,1723
43582.53472,36,35.3,1251.8
43582.53819,36,35.4,5013.8
43582.54167,36,35.4,9309
43582.54514,36,35.5,9643
43582.54861,36,35.6,9844
43582.55208,36,35.7,9461
43582.55556,35,35.8,10165
43582.55903,35,35.9,6081.6
43582.5625,35,35.9,1737.6
43582.56597,35,36,1722.4
43582.56944,35,36.1,1727.2
43582.57292,35,36.2,1714.4
43582.57639,35,36.3,1713.6
43582.57986,35,36.3,1718.6
43582.58333,35,36.4,1696.4
43582.58681,35,36.5,1696.8
43582.59028,35,36.6,1684.4
43582.59375,35,36.6,1689.2
43582.59722,35,36.7,1690.8
43582.60069,35,36.8,1680.6
43582.60417,34,36.9,1668.4
43582.60764,34,37,1662
43582.61111,34,37.1,1653.6
43582.61458,34,37.2,1647
43582.61806,34,37.3,1634.6
43582.62153,34,37.3,1742.8
43582.625,34,37.3,1647
43582.62847,33,37.3,1694
43582.63194,33,37.5,1825.8
43582.63542,33,37.5,1843.4
43582.63889,33,37.6,1836.6
43582.64236,33,37.7,1820
43582.64583,33,37.7,5601
43582.64931,33,37.8,10031
43582.65278,33,37.8,10469.8
43582.65625,33,37.9,10471.6
43582.65972,33,38,10510.6
43582.66319,33,38,10554.4
43582.66667,33,38.1,10616.2
43582.67014,33,38.1,10541.2
43582.67361,33,38.1,10468.2
43582.67708,33,38.2,10622.4
43582.68056,33,38.2,10692.8
43582.68403,32,38.3,10770.2
43582.6875,32,38.3,10684.4
43582.69097,32,38.4,1878.8
43582.69444,32,38.4,1607.2
43582.69792,32,38.5,1583.6
43582.70139,32,38.5,1586.8
43582.70486,31,38.5,1586.6
43582.70833,31,38.5,1589.8
43582.71181,31,38.6,1584.4
43582.71528,31,38.6,1578.8
43582.71875,31,38.6,1573.2
43582.72222,31,38.7,1567.6
43582.72569,31,38.7,1611.8
43582.72917,31,38.7,1510.6
43582.73264,31,38.7,1403.4
43582.73611,31,38.7,1409.8
43582.73958,31,38.7,1402.8
43582.74306,31,38.7,1444.8
43582.74653,30,38.7,1498.6
43582.75,30,38.7,1508
43582.75347,30,38.7,1615.2
43582.75694,30,38.7,1706.2
43582.76042,30,38.7,1718.4
43582.76389,30,38.4,1734.8
43582.76736,29,38.2,1728.4
43582.77083,29,38,1704
43582.77431,29,38,1739.8
43582.77778,30,37.9,1958.8
43582.78125,31,37.9,2146
43582.78472,32,37.8,2137.2
43582.78819,32,37.7,1921.8
43582.79167,33,37.7,1954.2
43582.79514,33,37.8,2040.4
43582.79861,33,38,2042.6
43582.80208,33,38.1,1780.6
43582.80556,33,38.1,1758.6
43582.80903,33,38.1,1533.4
43582.8125,32,38.1,1527.8
